   road1    |   road2    |                                                  intersection                                                  
------------+------------+----------------------------------------------------------------------------------------------------------------
   90960301 |  872867049 | 0101000020110F0000CA44A6270FCC63C1B0B802E6FD675541
  304254573 |  482359227 | 0101000020110F000074B6011F2BCC63C19207C2BCC76B5541
  304254573 |  482359227 | 0101000020110F000074B6011F2BCC63C19207C2BCC76B5541
  304254573 |  482359227 | 0101000020110F000074B6011F2BCC63C19207C2BCC76B5541
   90960301 |  872867049 | 0101000020110F0000CA44A6270FCC63C1B0B802E6FD675541
  304254573 |  482359227 | 0101000020110F000074B6011F2BCC63C19207C2BCC76B5541
  304254573 |  482359227 | 0101000020110F000074B6011F2BCC63C19207C2BCC76B5541
   90960301 |  872867049 | 0101000020110F0000CA44A6270FCC63C1B0B802E6FD675541
  304254573 |  482359227 | 0101000020110F000074B6011F2BCC63C19207C2BCC76B5541
   90960301 |  872867049 | 0101000020110F0000CA44A6270FCC63C1B0B802E6FD675541
  304254573 |  482359227 | 0101000020110F000074B6011F2BCC63C19207C2BCC76B5541
   90960301 |  872867049 | 0101000020110F0000CA44A6270FCC63C1B0B802E6FD675541
  304254573 |  482359227 | 0101000020110F000074B6011F2BCC63C19207C2BCC76B5541
   90960301 |  872867049 | 0101000020110F0000CA44A6270FCC63C1B0B802E6FD675541
   90960301 |  872867049 | 0101000020110F0000CA44A6270FCC63C1B0B802E6FD675541
   90960301 |  872867049 | 0101000020110F0000CA44A6270FCC63C1B0B802E6FD675541
    6032808 |    6042932 | 0101000020110F0000F42380DB59D163C182C2355C37685541
  816871090 |  816871091 | 0104000020110F000002000000010100000089AAD4A475CA63C1ADC238739461554101010000009202635B80CA63C15F46145A94615541
  816871090 |  816871091 | 0104000020110F000002000000010100000089AAD4A475CA63C1ADC238739461554101010000009202635B80CA63C15F46145A94615541
  816871090 |  816871091 | 0104000020110F000002000000010100000089AAD4A475CA63C1ADC238739461554101010000009202635B80CA63C15F46145A94615541
  816871090 |  816871091 | 0104000020110F000002000000010100000089AAD4A475CA63C1ADC238739461554101010000009202635B80CA63C15F46145A94615541
  816871090 |  816871091 | 0104000020110F000002000000010100000089AAD4A475CA63C1ADC238739461554101010000009202635B80CA63C15F46145A94615541
  816871090 |  816871091 | 0104000020110F000002000000010100000089AAD4A475CA63C1ADC238739461554101010000009202635B80CA63C15F46145A94615541
  816871090 |  816871091 | 0104000020110F000002000000010100000089AAD4A475CA63C1ADC238739461554101010000009202635B80CA63C15F46145A94615541
  816871090 |  816871091 | 0104000020110F000002000000010100000089AAD4A475CA63C1ADC238739461554101010000009202635B80CA63C15F46145A94615541
  946485769 |  946485771 | 0101000020110F0000AC86E002E6CC63C17A38B91C9C645541
  946485769 |  946485771 | 0101000020110F0000AC86E002E6CC63C17A38B91C9C645541
  946485769 |  946485771 | 0101000020110F0000AC86E002E6CC63C17A38B91C9C645541
  946485769 |  946485771 | 0101000020110F0000AC86E002E6CC63C17A38B91C9C645541
  946485769 |  946485771 | 0101000020110F0000AC86E002E6CC63C17A38B91C9C645541
  946485769 |  946485771 | 0101000020110F0000AC86E002E6CC63C17A38B91C9C645541
  946485769 |  946485771 | 0101000020110F0000AC86E002E6CC63C17A38B91C9C645541
  946485769 |  946485771 | 0101000020110F0000AC86E002E6CC63C17A38B91C9C645541
