    road    | grid_intersections | total_intersections | non_grid_intersections 
------------+--------------------+---------------------+------------------------
    6010857 |                  0 |                  22 |                     22
    6017514 |                 25 |                  33 |                      8
    6018574 |                 22 |                  29 |                      7
    6019573 |                 15 |                  21 |                      6
    6019635 |                 25 |                  32 |                      7
    6021835 |                 28 |                  34 |                      6
    6022782 |                 13 |                  20 |                      7
    6023362 |                 11 |                  18 |                      7
    6023439 |                 41 |                  48 |                      7
    6024826 |                 19 |                  25 |                      6
    6025196 |                 32 |                  45 |                     13
    6025755 |                 28 |                  34 |                      6
    6026023 |                 12 |                  18 |                      6
    6026224 |                 36 |                  46 |                     10
    6026827 |                  4 |                  10 |                      6
    6027214 |                  4 |                  11 |                      7
    6027372 |                  3 |                   9 |                      6
    6027858 |                 26 |                  35 |                      9
    6027916 |                 13 |                  22 |                      9
    6028409 |                 21 |                  27 |                      6
    6029309 |                 30 |                  36 |                      6
    6029532 |                 13 |                  19 |                      6
    6029534 |                 26 |                  34 |                      8
    6029892 |                 11 |                  17 |                      6
    6030242 |                 12 |                  18 |                      6
    6031298 |                 24 |                  36 |                     12
    6031953 |                 17 |                  32 |                     15
    6032310 |                 22 |                  29 |                      7
    6032607 |                  4 |                  10 |                      6
    6032862 |                 26 |                  32 |                      6
    6033021 |                 35 |                  52 |                     17
    6033265 |                  0 |                   6 |                      6
    6033516 |                  4 |                  12 |                      8
    6033663 |                 39 |                  53 |                     14
    6034012 |                 37 |                  46 |                      9
    6034197 |                 20 |                  26 |                      6
    6034464 |                 21 |                  27 |                      6
    6035141 |                 16 |                  23 |                      7
    6035171 |                 30 |                  37 |                      7
    6035281 |                 26 |                  33 |                      7
    6035586 |                 11 |                  18 |                      7
    6035589 |                 16 |                  23 |                      7
    6035723 |                 10 |                  16 |                      6
    6036105 |                 17 |                  25 |                      8
    6036550 |                 14 |                  21 |                      7
    6036594 |                  5 |                  13 |                      8
    6036742 |                 54 |                  62 |                      8
    6036770 |                  9 |                  16 |                      7
    6037334 |                 15 |                  27 |                     12
    6037718 |                  5 |                  11 |                      6
    6037800 |                 10 |                  17 |                      7
    6037801 |                 23 |                  31 |                      8
    6037991 |                 22 |                  32 |                     10
    6038374 |                  2 |                   8 |                      6
    6038749 |                  6 |                  12 |                      6
    6038998 |                  5 |                  13 |                      8
    6039077 |                  7 |                  13 |                      6
    6039337 |                 13 |                  19 |                      6
    6039420 |                 16 |                  28 |                     12
    6039467 |                  9 |                  16 |                      7
    6039846 |                 14 |                  21 |                      7
    6040386 |                 30 |                  43 |                     13
    6040389 |                 13 |                  21 |                      8
    6040776 |                 11 |                  17 |                      6
    6040802 |                 17 |                  31 |                     14
    6040944 |                  9 |                  16 |                      7
    6041186 |                  3 |                  11 |                      8
    6041239 |                 14 |                  20 |                      6
    6041484 |                 30 |                  40 |                     10
    6041520 |                 15 |                  21 |                      6
    6041783 |                  8 |                  15 |                      7
    6042413 |                 10 |                  16 |                      6
    6042485 |                  6 |                  15 |                      9
    6042501 |                 27 |                  40 |                     13
    6042631 |                 13 |                  22 |                      9
    6042868 |                 28 |                  44 |                     16
    6042939 |                  8 |                  15 |                      7
    6042990 |                  6 |                  13 |                      7
    6043188 |                  3 |                  10 |                      7
    6043235 |                  9 |                  15 |                      6
    6043337 |                 18 |                  24 |                      6
    6043340 |                 41 |                  50 |                      9
    6043510 |                 21 |                  31 |                     10
    6043679 |                 23 |                  32 |                      9
    6043858 |                 22 |                  35 |                     13
   18014854 |                 15 |                  24 |                      9
   18015645 |                 12 |                  18 |                      6
   18016754 |                  7 |                  15 |                      8
   18017939 |                  4 |                  10 |                      6
   18017940 |                 22 |                  29 |                      7
   18217405 |                 12 |                  18 |                      6
   18217769 |                 27 |                  41 |                     14
   18220530 |                  8 |                  15 |                      7
   18222790 |                  8 |                  14 |                      6
   18223082 |                  0 |                   6 |                      6
   22560899 |                 10 |                  17 |                      7
   22560941 |                 23 |                  29 |                      6
   22598235 |                  9 |                  15 |                      6
   22649572 |                 16 |                  22 |                      6
   22758825 |                 13 |                  19 |                      6
   22903938 |                 20 |                  26 |                      6
   22927533 |                 37 |                  46 |                      9
   22927534 |                 38 |                  48 |                     10
   22927535 |                 37 |                  46 |                      9
   22927536 |                 22 |                  31 |                      9
   22927537 |                 21 |                  31 |                     10
   23125939 |                 16 |                  22 |                      6
